date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:34	4327/4327	---M--	200	added ('OK')	application/javascript	etag:%2210e7-59455aceec4b9%22	https://www.warpedcigars.com/service-worker.js	D:/Desktop/Dela%20Divine/www.warpedcigars.com/service-worker.js	(from https://www.warpedcigars.com/)
12:16:35	5/5	---M--	200	added ('OK')	text/css	etag:%225b8eb7c0-5%22	https://p.typekit.net/p.css?s=1&k=cyz8hzw&ht=tk&f=1692.1693.1694.1695.18484.18486.18488.24354.24355.43309&a=1936451&app=typekit&e=css	D:/Desktop/Dela%20Divine/p.typekit.net/p58ca.css	(from https://use.typekit.net/cyz8hzw.css)
12:16:35	47576/47576	---M--	200	added ('OK')	application/font-woff2	etag:%22cb00ddbe5474a30ffe05f3ea352db4ad7ff32d59%22	https://use.typekit.net/af/adf251/00000000000000000000d834/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/adf251/00000000000000000000d834/27/le196	(from https://use.typekit.net/cyz8hzw.css)
12:16:36	59308/59308	---M--	200	added ('OK')	application/font-woff	etag:%22cb00ddbe5474a30ffe05f3ea352db4ad7ff32d59%22	https://use.typekit.net/af/adf251/00000000000000000000d834/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/adf251/00000000000000000000d834/27/de196	(from https://use.typekit.net/cyz8hzw.css)
12:16:37	122468/122468	---MCZ	200	added ('OK')	font/opentype	etag:W/%22cb00ddbe5474a30ffe05f3ea352db4ad7ff32d59%22	https://use.typekit.net/af/adf251/00000000000000000000d834/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/adf251/00000000000000000000d834/27/ae196	(from https://use.typekit.net/cyz8hzw.css)
12:16:37	43796/43796	---M--	200	added ('OK')	application/font-woff2	etag:%22723646ecd3ce6f84e695aa716077f8c0ce60050a%22	https://use.typekit.net/af/c0afc3/00000000000000000000d835/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/c0afc3/00000000000000000000d835/27/lfdcc	(from https://use.typekit.net/cyz8hzw.css)
12:16:37	54268/54268	---M--	200	added ('OK')	application/font-woff	etag:%22723646ecd3ce6f84e695aa716077f8c0ce60050a%22	https://use.typekit.net/af/c0afc3/00000000000000000000d835/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/c0afc3/00000000000000000000d835/27/dfdcc	(from https://use.typekit.net/cyz8hzw.css)
12:16:37	107548/107548	---M-Z	200	added ('OK')	font/opentype	etag:W/%22723646ecd3ce6f84e695aa716077f8c0ce60050a%22	https://use.typekit.net/af/c0afc3/00000000000000000000d835/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/c0afc3/00000000000000000000d835/27/afdcc	(from https://use.typekit.net/cyz8hzw.css)
12:16:38	44608/44608	---M--	200	added ('OK')	application/font-woff2	etag:%22b5e2e7d635ea257d38e9d97a8eb91d42cb6556d5%22	https://use.typekit.net/af/a358fc/00000000000000000000d836/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/a358fc/00000000000000000000d836/27/l652f	(from https://use.typekit.net/cyz8hzw.css)
12:16:39	55304/55304	---M--	200	added ('OK')	application/font-woff	etag:%22b5e2e7d635ea257d38e9d97a8eb91d42cb6556d5%22	https://use.typekit.net/af/a358fc/00000000000000000000d836/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/a358fc/00000000000000000000d836/27/d652f	(from https://use.typekit.net/cyz8hzw.css)
